##FamilyName 	 TFs 
0	# ABF1_MA0265.2,ABF2_MA0266.1,ABI3_MA0564.1,AFT1_MA0269.1,AFT2_MA0270.1,AGL42_MA1201.1,AGL55_MA1202.1,AIL7_MA1235.1,ANT_MA0571.1,ARF10_MA1685.1,ARF13_MA1686.1,ARF14_MA1687.1,ARF16_MA1688.1,ARF25_MA1690.1,ARF27_MA1691.1,ARF2_MA1206.1,ARF34_MA1693.1,ARF35_MA1694.1,ARF36_MA1695.1,ARF39_MA1696.1,ARF3_MA1009.1,ARF4_MA1697.1,ARF7_MA1698.1,ARG80_MA0271.1,ARO80_MA0273.1,ARR10_MA0121.1,ARR11_MA0946.1,ARR14_MA0947.1,ARR1_MA0274.1,ARR2_MA0949.1,ASH1_MA0276.1,ASR1_MA1762.1,ASR3_MA1857.1,AT1G14600_MA1706.1,AT1G76870_MA1367.1,AT3G10030_MA1662.1,AT3G10580_MA1194.1,AT4G12670_MA1354.1,AT5G05090_MA1768.1,ATHB-9_MA0573.1,AhrArnt_MA0006.1,Arid3a_MA0151.1,Arid5a_MA0602.1,BACH2_MA1470.1,BARX2_MA1471.1,BAS1_MA0278.1,BCL6B_MA0731.1,BCL6_MA0463.2,CAMTA1_MA1197.1,CAMTA2_MA0969.1,CAMTA3_MA0970.1,CDC5_MA0579.1,CG11617_MA0173.1,CHA4_MA0283.1,CRZ1_MA0285.1,CTCFL_MA1102.2,CTCF_MA2025.1,CTCF_MA2026.1,CUP2_MA0287.1,CUP9_MA0288.1,Cebpg_MA1890.1,Cf2_MA0015.1,DAL81_MA0290.1,DAL82_MA0291.1,DOF5.7_MA0984.1,DPRX_MA1480.1,DUX4_MA0468.1,DUXA_MA0884.2,DYT1_MA0580.1,Ddit3Cebpa_MA0019.1,Deaf1_MA0185.1,Dux_MA0611.2,E2F3_MA0469.3,E2F8_MA0865.2,E2FA_MA1414.1,E2FC_MA1812.1,EDS1_MA0294.1,EIL3_MA1814.1,EIL4_MA1881.1,ELK1HOXA1_MA1789.1,ELK1SREBF2_MA1781.1,ERF018_MA1048.1,ERF6_MA1006.1,ERFHOXB13_MA1791.1,ERFNHLH1_MA1797.1,ESR1_MA0112.3,ESR2_MA0258.2,ETV2HOXB13_MA1792.1,EWSR1-FLI1_MA0149.1,EcRusp_MA0534.1,FERD3L_MA1485.1,FHL1_MA0295.1,FIGLA_MA0820.1,FOXH1_MA0479.1,FUS3_MA0565.2,FoxA-a_MA1899.1,FoxI-c_MA1908.1,FoxO_MA1912.1,Foxn1_MA1684.1,GAL4_MA0299.1,GATA15_MA1016.1,GATA1TAL1_MA0140.2,GATA1_MA0035.4,GFI1_MA0038.2,GLI3_MA1491.2,GLIS1_MA0735.1,GLIS2_MA0736.1,GLIS3_MA0737.1,GLYMA-07G038400_MA1990.1,GLYMA-08G357600_MA1988.1,GRF4_MA1878.1,GSM1_MA0308.1,GT-1_MA1020.1,GT-3a_MA1207.1,GT-4_MA1368.2,GTL1_MA1661.1,Gam1_MA0034.1,Gfi1B_MA0483.1,Gmeb1_MA0615.1,Gsx_MA1921.1,HAP1_MA0312.2,HAP5_MA0316.1,HIC2_MA0738.1,HINFP_MA0131.2,HMBOX1_MA0895.1,HMRA1_MA0327.1,HNF4A_MA1494.1,HOXC13_MA0907.1,HSF1_MA0319.1,Hand1Tcf3_MA0092.1,Hes-c_MA1915.1,Hic1_MA0739.1,INSM1_MA0155.1,IRF2_MA0051.1,IRF6_MA1509.1,IXR1_MA0323.1,Irf-b_MA1929.1,Isl1_MA1608.1,JUB1_MA1997.1,JUB1_MA2055.1,KAN4_MA1028.1,KLF13_MA0657.1,KLF17_MA1514.1,Kr_MA0452.2,LBD18_MA1673.1,LEC2_MA0581.1,LEU3_MA0324.1,LFY_MA0590.1,LRL2_MA1363.1,M1BP_MA1459.1,MAC1_MA0326.1,MBP1SWI6_MA0330.1,MBP1_MA0329.1,MCM1_MA0331.1,MGA1_MA0336.1,MGAEVX1_MA1810.1,MIG2_MA0338.1,MIG3_MA0339.1,MOT2_MA0379.1,MOT3_MA0340.1,MSANTD3_MA1523.1,MTF1_MA0863.1,MXI1_MA1108.2,MYB101_MA1173.1,MYB113_MA1181.1,MYB124_MA1426.1,MYB15_MA0574.1,MYB1_MA1179.1,MYB23_MA1830.1,MYB31_MA1825.1,MYB33_MA1391.2,MYB3R1_MA1178.2,MYB56_MA1174.1,MYB65_MA1177.1,MYB70_MA1393.2,MYB77_MA0575.1,MYB81_MA1175.1,MYB88_MA2009.1,MYB88_MA2067.1,MYB98_MA1392.2,MYBL1_MA0776.1,MYBL2_MA0777.1,MYB_MA0100.3,MZF1_MA0056.2,Macho-1_MA0118.1,Mad_MA0535.1,Max_MA1883.1,Mecom_MA0029.1,Msgn1_MA1524.2,NAC035_MA1751.1,NAC035_MA2087.1,NAC046_MA0936.1,NAC062_MA1676.2,NAC079_MA0939.1,NAC103_MA1739.1,NAC103_MA2076.1,NAC68_MA1756.1,NAC68_MA2092.1,NAC69_MA1998.1,NAC69_MA2056.1,NAC92_MA1044.1,NCU02182_MA1434.1,NDT80_MA0343.1,NFYB_MA0502.2,NHLH2_MA1529.1,NHP10_MA0344.1,NKX2-2_MA1645.1,NKX2-5_MA0063.2,NLP7_MA1863.1,NR1H2RXRA_MA0115.1,NR1I2_MA1533.1,NR6A1_MA1541.1,NRG1_MA0347.2,NSI1_MA0421.1,NTL8_MA1678.2,NTL9_MA1046.1,Npas4_MA2042.1,Nr1h3Rxra_MA0494.1,Nr2e3_MA0164.1,Nrf1_MA0506.2,OAF1_MA0348.1,OPI1_MA0349.1,OSR1_MA1542.1,OSR2_MA1646.1,PAX3_MA1546.1,PAX5_MA0014.3,PAX6_MA0069.1,PBX1_MA0070.1,PEND_MA0127.1,PHD1_MA0355.1,PHO2_MA0356.1,PLAG1_MA0163.1,POPTR_0002s00440g_MA0955.1,POU2F1SOX2_MA1809.1,PPARARXRA_MA1148.1,PPARG_MA0066.1,PRDM1_MA0508.3,PRDM9_MA1723.1,PROX1_MA0794.1,PUT3_MA0358.1,Plagl1_MA1615.1,Pou5f1Sox2_MA0142.1,PpargRxra_MA0065.2,Prdm14_MA2040.1,Prdm15_MA1616.1,Prdm4_MA1647.2,Prdm5_MA2039.1,RAP1_MA0359.2,RAP2-4_MA1766.1,RARARXRA_MA0159.1,RAV1_MA0582.1,RAV1_MA0583.1,RAX3_MA0576.1,RBPJ_MA1116.1,RDS2_MA0362.1,REB1_MA0363.2,REF6_MA1415.1,RELB_MA1117.1,REST_MA0138.2,RFX1_MA0365.1,RFX4_MA0799.2,RFX7_MA1554.1,RGT1_MA0367.1,RIN_MA1880.1,RME1_MA0370.1,RORA_MA0071.1,ROX1_MA0371.1,RPN4_MA0373.1,RREB1_MA0073.1,RXRAVDR_MA0074.1,Rarg_MA0860.1,Rel_MA1935.1,Rfx6_MA1724.1,Rhox11_MA0629.1,SATB1_MA2024.1,SEP3_MA0563.1,SFL1_MA0377.1,SIZF2_MA1405.1,SKN7_MA0381.1,SMZ_MA0553.1,SNT2_MA0384.1,SOK2_MA0385.1,SOX12_MA1561.1,SP5_MA2032.1,SPDEF_MA0686.1,SPL7_MA1060.1,SPL8_MA0578.1,SPT15_MA0386.1,SPT23_MA0388.1,SPT2_MA0387.1,SRF_MA0083.3,STB3_MA0390.1,STB5_MA0392.1,STP1_MA0394.1,STP2_MA0395.1,SUT1_MA0399.1,SUT2_MA0400.1,SWI4_MA0401.1,Six3_MA0631.1,Spz1_MA0111.1,Stat5a_MA1624.1,Stat6_MA0520.1,Stat92E_MA0532.1,SuH_MA0085.1,TB1_MA1430.1,TBF1_MA0403.2,TBP_MA0108.2,TBS1_MA0404.1,TCF7L1_MA1421.1,TCP14_MA1283.1,TCP1_MA1284.1,TCP2_MA1064.1,TDA9_MA0431.1,TEA1_MA0405.1,TEC1_MA0406.1,TFAP4FLI1_MA1780.1,TFAP4_MA1570.1,THAP1_MA0597.2,THI2_MA0407.1,THRA_MA2033.1,THRB_MA1575.1,THRB_MA1576.1,TP53_MA0106.3,TP63_MA0525.2,TP73_MA0861.1,TREE1_MA1764.1,TRP5_MA1882.1,Tbox-b_MA1960.1,Tbx151822_MA1961.1,Tcf3-4-12_MA1892.1,Tfcp2l1_MA0145.2,Thap11_MA1573.2,UME6_MA0412.2,UPC2_MA0411.1,URC2_MA0422.1,USV1_MA0413.1,VENTX_MA0724.1,VEZF1_MA1578.1,WRKY1_MA0589.1,WRKY46_MA1296.1,WRKY47_MA1312.1,Wt1_MA1627.1,XBP1_MA0414.1,YAP1_MA0415.1,YAP5_MA0417.1,YAP6_MA0418.1,YKL222C_MA0428.1,YLR278C_MA0430.1,YPR013C_MA0434.1,YPR015C_MA0435.1,YPR022C_MA0436.1,YPR196W_MA0437.1,YRM1_MA0438.1,YRR1_MA0439.1,YY1-2_MA1933.1,YY2_MA0748.2,Yy1_MA0095.3,ZAP1_MA0440.1,ZAT10_MA1372.1,ZBED1_MA0749.1,ZBED2_MA2020.1,ZBTB12_MA1649.1,ZBTB14_MA1650.1,ZBTB18_MA0698.1,ZBTB26_MA1579.1,ZBTB32_MA1580.1,ZBTB33_MA0527.1,ZBTB6_MA1581.1,ZFP14_MA1871.1,ZFP42_MA1651.1,ZFP57_MA1583.1,ZIM3_MA1709.1,ZKSCAN1_MA1585.1,ZKSCAN3_MA2027.1,ZKSCAN5_MA1652.1,ZMS1_MA0441.1,ZNF136_MA1588.1,ZNF140_MA1589.1,ZNF16_MA1654.1,ZNF189_MA1725.1,ZNF211_MA2023.1,ZNF214_MA1867.1,ZNF24_MA1124.1,ZNF257_MA1710.1,ZNF263_MA0528.2,ZNF274_MA1592.1,ZNF282_MA1154.1,ZNF317_MA1593.1,ZNF320_MA1868.1,ZNF324_MA1869.1,ZNF331_MA1726.1,ZNF341_MA1655.1,ZNF343_MA1711.1,ZNF354A_MA1872.1,ZNF354C_MA0130.1,ZNF382_MA1594.1,ZNF410_MA0752.1,ZNF416_MA2028.1,ZNF418_MA1864.1,ZNF449_MA1656.1,ZNF454_MA1712.1,ZNF528_MA1597.1,ZNF530_MA1873.1,ZNF549_MA1728.1,ZNF574_MA1865.1,ZNF582_MA2029.1,ZNF610_MA1713.1,ZNF652_MA1657.1,ZNF667_MA1874.1,ZNF669_MA1875.1,ZNF675_MA1714.1,ZNF680_MA1729.1,ZNF682_MA1599.1,ZNF684_MA1600.1,ZNF701_MA1876.1,ZNF707_MA1715.1,ZNF708_MA1730.1,ZNF75D_MA1601.2,ZNF768_MA1731.1,ZNF816_MA1719.1,ZNF85_MA1720.1,ZNF8_MA1718.1,ZSCAN29_MA1602.1,ZSCAN31_MA1722.1,ZSCAN4_MA1155.1,Zfp335_MA2035.1,Zfx_MA0146.2,Zm00001d034298_MA1986.1,Znf423_MA0116.1,abi4_MA0123.1,ara_MA0210.1,bHLH18_MA1361.1,bZIP911_MA0097.1,blmp-1_MA0537.1,br_MA0011.1,br_MA0012.1,br_MA0013.1,brk_MA0213.1,caup_MA0217.1,cebp-1_MA1444.1,ceh-10ttx-3_MA0263.1,che-1_MA0260.1,cncmaf-S_MA0530.1,cre-1_MA1432.1,ct_MA0218.1,daf-12_MA0538.1,dl_MA0022.1,dl_MA0023.1,dpy-27_MA0540.1,efl-1_MA0541.1,eor-1_MA0543.1,kn_MA2014.1,kni_MA0451.1,lim-7_MA1441.1,lin-14_MA0261.1,mab-3_MA0262.1,myb.Ph3_MA0054.1,odd_MA0454.1,onecut_MA0235.1,opa_MA0456.1,ovo_MA0126.1,pan_MA0237.2,pho_MA1460.1,prd_MA0239.1,rst2_MA1431.1,sd_MA0243.1,skn-1_MA0547.1,slbo_MA0244.1,snpc-4_MA0544.1,suHw_MA0533.1,ttk_MA0460.1,unc-62_MA0918.1,unc-86_MA0926.1,usp_MA0016.1,vfl_MA1462.1,vnd_MA0253.1,vvl_MA0254.1,wc-1_MA1437.1,z_MA0255.1,
1	
2	
3	ABF2_MA0941.1,ABI5_MA0931.1,
4	
5	
6	
7	
8	
9	ACE2_MA0267.1,SWI5_MA0402.1,
