output_prefix	name	motif_id	cluster	total_tfbs	cluster12_mean_score	cluster12_bound	cluster6_mean_score	cluster6_bound	cluster11_mean_score	cluster11_bound	cluster16_mean_score	cluster16_bound	cluster20_mean_score	cluster20_bound	cluster3_mean_score	cluster3_bound	cluster19_mean_score	cluster19_bound	cluster18_mean_score	cluster18_bound	cluster1_mean_score	cluster1_bound	cluster4_mean_score	cluster4_bound	cluster7_mean_score	cluster7_bound	cluster9_mean_score	cluster9_bound	cluster15_mean_score	cluster15_bound	cluster14_mean_score	cluster14_bound	cluster2_mean_score	cluster2_bound	cluster8_mean_score	cluster8_bound	cluster17_mean_score	cluster17_bound	cluster13_mean_score	cluster13_bound	cluster10_mean_score	cluster10_bound	cluster5_mean_score	cluster5_bound	cluster12_cluster6_change	cluster12_cluster6_pvalue	cluster6_cluster11_change	cluster6_cluster11_pvalue	cluster11_cluster16_change	cluster11_cluster16_pvalue	cluster16_cluster20_change	cluster16_cluster20_pvalue	cluster20_cluster3_change	cluster20_cluster3_pvalue	cluster3_cluster19_change	cluster3_cluster19_pvalue	cluster19_cluster18_change	cluster19_cluster18_pvalue	cluster18_cluster1_change	cluster18_cluster1_pvalue	cluster1_cluster4_change	cluster1_cluster4_pvalue	cluster4_cluster7_change	cluster4_cluster7_pvalue	cluster7_cluster9_change	cluster7_cluster9_pvalue	cluster9_cluster15_change	cluster9_cluster15_pvalue	cluster15_cluster14_change	cluster15_cluster14_pvalue	cluster14_cluster2_change	cluster14_cluster2_pvalue	cluster2_cluster8_change	cluster2_cluster8_pvalue	cluster8_cluster17_change	cluster8_cluster17_pvalue	cluster17_cluster13_change	cluster17_cluster13_pvalue	cluster13_cluster10_change	cluster13_cluster10_pvalue	cluster10_cluster5_change	cluster10_cluster5_pvalue
Runx1_MA0002.2	Runx1	MA0002.2	C_Bcl11B	19389	3.89068	5515	2.89064	4207	3.21827	4760	1.58443	2273	3.79212	5448	0.29857	418	1.74685	2508	1.89216	2743	3.87241	5627	2.25224	3240	3.60292	5150	1.14633	1655	3.85745	5582	3.76318	5398	0.09738	137	3.87954	5564	3.77068	5438	2.1055	3041	2.05304	3013	1.93275	2786	0.01338	8.45606E-31	-0.0266	2.37371E-53	-0.02407	1.16004E-49	0.0496	8.92829E-82	-0.02344	4.93705E-48	0.05231	1.27261E-67	-0.06819	2.93806E-86	-0.03079	2.14534E-58	-0.02933	1.06420E-54	0.02301	5.05891E-51	0.02847	2.24314E-55	-0.02546	1.08472E-53	-0.00503	3.77078E-09	-0.00215	2.22596E-01	0.00188	7.30170E-02	0.00871	1.85328E-16	0.03381	3.74923E-60	-0.00361	6.38392E-05	0.01977	3.29524E-41
TFAP2A_MA0003.4	TFAP2A	MA0003.4	C_TFAP2C	22555	5.15372	8519	3.92	6392	4.36524	7357	2.14985	3575	5.14863	8446	0.546	902	3.03401	5101	2.93403	4908	5.11154	8483	3.10003	5100	4.81562	7968	1.74952	2908	5.06115	8408	4.93859	8168	0.18786	310	5.06068	8361	4.91113	8050	3.03478	4978	3.04567	5058	2.94146	4858	0.00636	4.22818E-14	-0.02044	9.09915E-50	0.00571	4.24930E-09	-0.00038	7.89765E-01	0.08175	9.77593E-105	-0.06281	1.57051E-83	0.01425	2.60397E-31	0.04623	4.12984E-81	-0.02464	3.47939E-57	0.01069	7.89827E-22	0.02882	1.99566E-65	-0.02674	1.57765E-61	-0.00507	3.98221E-11	0.11705	1.33083E-121	-0.12511	5.55862E-123	0.01294	5.46507E-36	-0.01623	2.55901E-38	-0.0171	2.14181E-37	0.00617	2.28682E-11
Arnt_MA0004.1	Arnt	MA0004.1	C_MNT	9440	6.26752	4266	4.76485	3241	4.99059	3487	2.91654	2052	6.09149	4183	0.81083	543	3.23288	2303	3.57062	2503	6.19176	4296	3.89191	2667	5.79324	4010	2.13014	1486	6.09097	4159	6.10519	4207	0.2611	181	6.13218	4208	5.94934	4115	3.61814	2526	3.41687	2406	3.38771	2311	-0.00422	1.64417E-02	0.03752	1.21787E-52	-0.09153	3.76502E-88	0.04962	1.01673E-61	0.14035	6.21449E-111	0.01389	2.98269E-15	-0.07506	2.83194E-72	0.00751	6.12458E-10	-0.03232	1.34629E-50	0.03717	1.22258E-56	0.05875	1.06007E-74	-0.06756	3.98746E-77	-0.02947	6.74762E-49	0.28196	1.23654E-138	-0.26837	1.86523E-139	0.00759	5.79856E-06	0.01005	1.19996E-18	0.03787	1.74089E-55	-0.02978	3.57991E-45
AhrArnt_MA0006.1	Ahr::Arnt	MA0006.1	C_Ahr::Arnt	11624	5.7636	4757	4.43113	3663	5.3545	4599	2.84	2402	5.66754	4715	0.87501	734	3.81674	3266	3.42882	2886	5.75281	4854	3.61076	3024	5.27798	4393	1.99088	1690	5.59569	4642	5.37389	4512	0.24316	214	5.50458	4611	5.44477	4545	3.45445	2907	3.8698	3335	3.41888	2848	-0.01261	1.00280E-19	-0.10538	3.70204E-103	-0.01593	2.15059E-29	0.10431	9.97057E-104	0.0297	3.19393E-52	-0.02577	1.10359E-36	0.08693	1.51021E-89	0.07064	5.58062E-82	-0.03433	1.55186E-55	0.05595	5.96814E-77	0.00656	4.88945E-07	-0.01797	4.18131E-30	0.00631	1.44971E-10	0.1496	1.67576E-110	-0.17731	4.88048E-127	0.00885	3.36752E-13	-0.04888	5.70998E-70	-0.11839	3.16891E-102	0.0824	9.53105E-84
Ar_MA0007.3	Ar	MA0007.3	C_NR3C2	6790	4.12655	2071	3.09295	1572	3.9724	2085	1.71014	849	4.1044	2044	0.29329	148	2.34659	1186	2.29256	1162	4.02607	2035	2.34499	1168	3.85733	1912	1.3149	665	4.07984	2048	4.0303	2037	0.11648	57	4.03954	2008	4.01626	2015	2.29992	1137	2.9091	1492	2.33144	1167	0.01182	1.72816E-16	-0.14947	2.40593E-102	0.09573	2.53911E-90	0.01994	1.70052E-24	0.07034	5.99337E-70	-0.1339	3.83305E-85	0.02307	5.97016E-25	0.04095	1.04067E-53	-0.03486	4.03186E-48	0.00803	3.97081E-09	0.02593	2.72404E-28	-0.02226	3.40329E-26	-0.021	9.07052E-27	0.06648	1.61460E-66	-0.05734	1.08706E-56	-0.0129	2.25904E-20	0.00732	9.61560E-09	-0.13567	5.12385E-97	0.10152	5.83321E-90
TBXT_MA0009.2	TBXT	MA0009.2	C_TBX19	4286	4.05621	1268	2.92737	906	2.57143	789	0.98216	294	3.89637	1262	0.21503	73	1.34998	442	1.67356	514	3.97807	1281	1.95601	616	3.71277	1163	1.19742	366	4.0994	1306	3.98493	1241	0.11509	41	4.10895	1313	4.00094	1279	2.21984	705	1.43193	453	1.83484	597	0.03384	3.72785E-38	0.16749	3.92407E-102	0.03969	5.64833E-35	-0.16431	2.11418E-98	0.03345	6.15901E-34	0.08676	2.05312E-53	-0.14478	2.20145E-81	-0.16125	2.01850E-92	0.10152	8.12018E-78	-0.09854	1.73520E-75	0.04239	2.97864E-42	-0.06335	2.56795E-57	0.01399	8.78900E-15	-0.01631	5.24151E-13	0.01248	3.10001E-08	0.01081	9.25805E-07	0.05243	1.62259E-47	0.24406	3.50999E-109	-0.19145	6.61931E-95
PAX5_MA0014.3	PAX5	MA0014.3	C_PAX5	6654	6.55491	3067	5.09644	2409	5.74907	2764	3.21953	1555	6.48669	3090	0.88788	429	4.17459	2058	3.96504	1931	6.51564	3068	4.19921	1964	6.05835	2828	2.3243	1130	6.36848	3009	6.29839	2956	0.27363	138	6.35649	2969	6.25136	2974	3.99353	1890	4.17023	2027	3.86962	1858	-0.00333	1.81147E-01	-0.04616	1.54796E-65	-0.05409	3.99613E-58	0.07213	3.26186E-78	0.14284	4.04535E-108	-0.09396	4.82864E-79	0.03311	3.74445E-38	0.07839	2.40460E-83	-0.05818	8.77875E-71	0.06749	3.10325E-70	0.03362	6.59878E-43	-0.03987	1.04175E-47	-0.00949	2.85244E-10	0.27418	3.58229E-133	-0.27186	1.07345E-131	0.01029	5.59544E-10	-0.04119	1.85151E-52	-0.04995	2.72302E-55	0.03509	2.68597E-48
NR2F1_MA0017.2	NR2F1	MA0017.2	C_Nr1H2	21982	4.57077	7673	3.40607	5602	3.00984	5026	1.13	1822	4.53681	7512	0.17757	282	1.52762	2484	1.60526	2570	4.50958	7613	2.20656	3596	4.29936	7186	1.29683	2100	4.5942	7595	4.56645	7654	0.13405	217	4.69284	7871	4.56233	7652	2.37273	3812	1.75552	2845	2.11462	3371	0.02519	5.47773E-54	0.13881	3.19737E-121	0.11791	1.16387E-119	-0.2331	7.23558E-149	0.18836	1.93624E-140	-0.02668	2.86979E-40	-0.04575	7.15651E-72	-0.26875	6.11239E-154	0.10868	4.06587E-121	-0.1303	7.25334E-123	0.11229	6.35351E-118	-0.12075	6.04916E-124	-0.02226	3.12005E-56	0.12329	1.14066E-121	-0.12748	6.61608E-127	0.01254	6.02656E-36	0.11642	4.25066E-118	0.18138	1.26629E-138	-0.15632	1.34564E-118
CREB1_MA0018.4	CREB1	MA0018.4	C_ATF2	16289	4.59259	5570	3.34489	4050	3.41552	4103	1.43416	1748	4.4781	5429	0.32763	399	1.70195	2045	2.07266	2460	4.47641	5424	2.33932	2774	4.35411	5309	1.38424	1659	4.70445	5686	4.79164	5813	0.14034	168	4.76803	5789	4.52248	5444	2.37826	2784	2.21157	2632	2.21408	2651	0.04427	6.80235E-71	0.0483	1.81595E-81	0.08984	1.25119E-98	-0.13486	4.87101E-118	0.12048	6.23658E-113	0.02079	3.09854E-23	-0.14584	2.48911E-114	-0.12156	2.92471E-111	0.05774	2.03907E-85	-0.10292	1.02734E-107	0.08602	3.04218E-95	-0.10068	8.22057E-105	-0.03963	1.11246E-65	0.16224	4.04930E-130	-0.14493	3.21518E-121	0.04545	4.41260E-69	0.11746	2.42237E-109	0.05664	4.33132E-77	-0.04981	5.63992E-74
Ddit3Cebpa_MA0019.1	Ddit3::Cebpa	MA0019.1	C_Ddit3::Cebpa	9301	4.18455	2983	3.04582	2107	2.68864	1894	1.14289	778	4.11583	2870	0.18941	125	1.20689	813	1.54355	1019	4.11738	2914	2.11206	1418	3.87284	2713	1.1231	799	4.17074	2837	4.10093	2886	0.10898	75	4.32026	3074	4.15001	2933	2.1019	1455	1.5134	1035	1.80295	1190	0.05485	3.33478E-72	0.15353	8.73243E-111	0.019	8.57303E-28	-0.14922	7.21988E-117	0.10101	9.35615E-94	0.09297	2.02413E-67	-0.1605	8.50736E-105	-0.22196	9.72616E-132	0.08506	1.46970E-83	-0.0921	4.13354E-92	0.09472	1.19347E-90	-0.10146	1.76209E-94	-0.00806	2.15101E-11	0.0418	1.57742E-58	-0.053	2.63811E-72	0.02596	6.84404E-40	0.11413	8.75247E-103	0.20317	2.98006E-121	-0.14959	1.42093E-98
